hashtag,frequency,category,sentiment
naturelovers,19,Other,Neutral
tbt,19,Other,Neutral
muscle,19,Other,Neutral
nyc,19,Other,Neutral
college,19,Other,Neutral
kerala,19,Other,Neutral
plants,19,Other,Neutral
architecture,19,Other,Neutral
positivevibes,18,Other,Neutral
kesfet,18,Other,Neutral
manifestation,18,Other,Neutral
pettraining,18,Other,Neutral
datascience,18,Other,Neutral
motivational,18,Other,Neutral
hairstylist,18,Other,Neutral
mobilegaming,18,Other,Neutral
podcast,18,Other,Neutral
hairtutorial,18,Other,Neutral
wedding,18,Other,Neutral
wildlife,18,Other,Neutral
retro,18,Other,Neutral
japan,18,Other,Neutral
nfl,18,Other,Neutral
baby,18,Other,Neutral
followme,18,Other,Neutral
vintage,18,Other,Neutral
motorcycle,18,Other,Neutral
formula1,17,Other,Neutral
brasil,17,Other,Neutral
history,17,Other,Neutral
trendingaudio,17,Other,Neutral
freefire,17,Other,Neutral
foodblogger,17,Cooking,Neutral
reelkarofeelkaro,17,Other,Neutral
hardwork,17,Other,Neutral
student,17,Other,Neutral
hiking,17,Other,Neutral
mma,17,Other,Neutral
barber,17,Other,Neutral
keşfetteyiz,17,Other,Neutral
tarot,17,Other,Neutral
booktok,17,Other,Neutral
run,17,Other,Neutral
nba,17,Other,Neutral
barberlife,17,Other,Neutral
community,17,Other,Neutral
studygram,16,Other,Neutral
arte,16,Other,Neutral
peace,16,Other,Neutral
catlover,16,Other,Neutral
pet,16,Other,Neutral
biker,16,Other,Neutral
retrogaming,16,Other,Neutral
foodporn,16,Cooking,Neutral
nintendo,16,Other,Neutral
repost,16,Other,Neutral
strangerthings,16,Other,Neutral
kannada,16,Other,Neutral
gamers,16,Other,Neutral
blender3d,16,Other,Neutral
holidays,16,Other,Neutral
god,16,Other,Neutral
comedia,16,Other,Neutral
gameplay,16,Other,Neutral
foodlover,16,Cooking,Neutral
makeupartist,16,Beauty & Personal Care,Neutral
work,16,Other,Neutral
girls,16,Other,Neutral
birds,15,Other,Neutral
2025,15,Other,Neutral
canada,15,Other,Neutral
catsofinstagram,15,Other,Neutral
creative,15,Other,Positive
trump,15,Other,Neutral
transformation,15,Other,Neutral
grappling,15,Other,Neutral
makeuptutorial,15,Beauty & Personal Care,Neutral
world,15,News & Politics,Neutral
pinterest,15,Other,Neutral
sony,15,Other,Neutral
bhfyp,15,Other,Neutral
trendingsongs,15,Other,Neutral
adventure,15,Travel & Nature,Neutral
photoshoot,15,Other,Neutral
noticias,15,Other,Neutral
videos,15,Other,Neutral
twitchstreamer,15,Other,Neutral
mukbang,15,Other,Neutral
ferrari,15,Other,Neutral
pcgames,15,Gaming,Neutral
viralreels❤️,15,Other,Neutral
sunset,15,Travel & Nature,Neutral
homesweethome,15,Other,Neutral
stocks,15,Other,Neutral
routine,15,Other,Neutral
ufc323,15,Other,Neutral
explorer,15,Other,Neutral
fitnessmodel,15,Fitness,Neutral
story,15,Other,Neutral
marriage,15,Other,Neutral
post,14,Other,Neutral
content,14,Other,Neutral
barbershop,14,Other,Neutral
jiujitsu,14,Other,Neutral
virals,14,Other,Neutral
scorpio,14,Other,Neutral
lifequotes,14,Other,Neutral
funnyvideo,14,Other,Neutral
geopolitics,14,Other,Neutral
photoshop,14,Other,Neutral
hairtransformation,14,Other,Neutral
philosophy,14,Other,Neutral
consciousness,14,Other,Neutral
snow,14,Other,Neutral
hilarious,14,Other,Positive
fashionstyle,14,Fashion,Neutral
poetry,14,Other,Neutral
fypreels,14,Other,Neutral
school,14,Other,Neutral
healthyfood,14,Fitness,Neutral
bride,14,Other,Neutral
cosplay,14,Other,Neutral
advice,14,Other,Neutral
desksetup,14,Other,Neutral
outfit,14,Fitness,Neutral
yummy,14,Other,Neutral
instafood,14,Cooking,Neutral
libra,14,Other,Neutral
horror,14,Other,Neutral
aquarius,14,Other,Neutral
hairfashion,14,Fashion,Neutral
faith,14,Other,Neutral
facebook,14,Other,Neutral
wrestling,14,Other,Neutral
telugu,14,Other,Neutral
designer,14,Other,Neutral
minimal,13,Other,Negative
california,13,Other,Neutral
fortnite,13,Other,Neutral
christmastree,13,Other,Neutral
honda,13,Other,Neutral
crypto,13,Other,Neutral
dropshipping,13,Other,Neutral
viratkohli,13,Other,Neutral
growthmindset,13,Other,Neutral
motorsport,13,Other,Neutral
apple,13,Other,Neutral
forex,13,Other,Neutral
martialarts,13,Other,Neutral
jokes,13,Other,Neutral
hairextensions,13,Other,Neutral
learning,13,Other,Neutral
musica,13,Other,Neutral
personalgrowth,13,Other,Neutral
tvseries,13,Other,Neutral
giftideas,13,Other,Neutral
consolegamer,13,Other,Neutral
december,13,Other,Neutral
amazon,13,Other,Neutral
lol,13,Other,Positive
sagittarius,13,Other,Neutral
teacher,13,Other,Neutral
thoughts,13,Other,Neutral
goodvibes,13,Other,Neutral
comedyvideos,13,Other,Neutral
learn,13,Other,Neutral
brokenheart,13,Other,Neutral
royalenfield,13,Other,Neutral
ride,13,Other,Neutral
foodies,13,Cooking,Neutral
socialmedia,13,Other,Neutral
studymotivation,13,Other,Neutral
navidad,13,Other,Neutral
homedesign,13,Other,Neutral
feelings,13,Other,Neutral
romance,13,Other,Neutral
startup,13,Other,Neutral
motorbike,12,Other,Neutral
horoscope,12,Other,Neutral
bikersofinstagram,12,Other,Neutral
diet,12,Other,Neutral
realestate,12,Other,Neutral
financialfreedom,12,Other,Neutral
shopping,12,Other,Neutral
1,12,Other,Neutral
developer,12,Technology,Neutral
digitalmarketing,12,Other,Neutral
loveyourself,12,Other,Neutral
healthy,12,Fitness,Positive
artistsoninstagram,12,Other,Neutral
foodstagram,12,Cooking,Neutral
360waves,12,Other,Neutral
wealth,12,Other,Neutral
astrology,12,Other,Neutral
réel,12,Other,Neutral
knowledge,12,Other,Neutral
taurus,12,Other,Neutral
gamergirl,12,Other,Neutral
aries,12,Other,Neutral
90s,12,Other,Neutral
kickboxing,12,Other,Neutral
edits,12,Other,Neutral
losangeles,12,Other,Neutral
artists,12,Other,Neutral
atlantahairstylist,12,Other,Neutral
bgmi,12,Other,Neutral
fashionblogger,12,Fashion,Neutral
wilderness,12,Other,Neutral
futbol,12,Other,Neutral
series,12,Other,Neutral
newyorkbarber,12,Other,Neutral
hairstyle,12,Fashion,Neutral
carsofinstagram,12,Other,Neutral
christmasdecor,12,Home & Interior,Neutral
virgo,12,Other,Neutral
slyhuncho,12,Other,Neutral
miami,12,Other,Neutral
moon,12,Other,Neutral
houston,12,Other,Neutral
indonesia,12,Other,Neutral
pisces,12,Other,Neutral
films,12,Other,Neutral
university,12,Other,Neutral
floridabarber,12,Other,Neutral
videogame,12,Other,Neutral
اکسپلور,12,Other,Neutral
runner,12,Other,Neutral
homemade,12,Other,Neutral
gymgirl,12,Fitness,Neutral
capricorn,12,Other,Neutral
gameon,12,Other,Neutral
hairreplacement,12,Other,Neutral
newyorkhairstylist,12,Other,Neutral
neworleans,12,Other,Neutral
italy,12,Other,Neutral
influencer,12,Other,Neutral
fitnesslife,12,Fitness,Neutral
nailsnailsnails,12,Other,Neutral
leo,12,Other,Neutral
renovation,12,Other,Neutral
athlete,12,Other,Neutral
wildlifephotography,12,Other,Neutral
cancer,12,Other,Neutral
women,12,Other,Neutral
atlantabarber,12,Other,Neutral
nola,11,Other,Neutral
catstagram,11,Other,Neutral
reach,11,Other,Neutral
photos,11,Other,Neutral
lipstick,11,Other,Neutral
clashroyale,11,Other,Neutral
businessowner,11,Other,Neutral
instaart,11,Other,Neutral
android,11,Other,Neutral
onlinegaming,11,Other,Neutral
trendingreelsvideo,11,Other,Neutral
nutrition,11,Other,Neutral
wellness,11,Other,Neutral
dankmemes,11,Other,Neutral
blogger,11,Other,Neutral
dogs,11,Other,Neutral
tecnologia,11,Other,Neutral
memories,11,Other,Neutral
nailsofinstagram,11,Other,Neutral
eat,11,Other,Neutral
abudhabigp,11,Other,Neutral
peaceofmind,11,Other,Neutral
doglife,11,Other,Neutral
jesus,11,Other,Neutral
ترند,11,Other,Neutral
cartoon,11,Other,Neutral
gifts,11,Other,Neutral
fitnessjourney,11,Fitness,Neutral
vibes,11,Other,Neutral
shoplocal,11,Other,Neutral
followers,11,Other,Neutral
goviral,11,Other,Neutral
houstonhairstylist,11,Other,Neutral
tips,11,Other,Neutral
america,11,Other,Neutral
posterdesign,11,Other,Neutral
vegas,11,Other,Neutral
autumn,11,Other,Neutral
songs,11,Other,Neutral
premierleague,11,Other,Neutral
smartphone,11,Other,Neutral
lovequotes,11,Other,Neutral
catlovers,11,Other,Neutral
yamaha,11,Other,Neutral
fitfam,11,Fitness,Neutral
trendy,11,Other,Positive
houstonbarber,11,Other,Neutral
animallovers,11,Pets & Animals,Neutral
dubai,11,Other,Neutral
samsung,11,Other,Neutral
trader,11,Other,Neutral
feed,11,Other,Neutral
daytrading,11,Other,Neutral
ufcfightnight,11,Other,Neutral
canon,11,Other,Neutral
trekking,10,Other,Neutral
ps5,10,Other,Neutral
aiart,10,Other,Neutral
facts,10,Other,Neutral
kitten,10,Other,Neutral
bookish,10,Other,Neutral
tasty,10,Other,Neutral
studywithme,10,Other,Neutral
animalsofinstagram,10,Pets & Animals,Neutral
shopsmall,10,Other,Neutral
patiencequotes,10,Other,Neutral
natal,10,Other,Neutral
christian,10,Other,Neutral
dogsofinstagram,10,Other,Neutral
2026,10,Other,Neutral
consolegaming,10,Other,Neutral
wisdom,10,Other,Neutral
babyboy,10,Other,Neutral
gardendesign,10,Other,Neutral
xmas,10,Other,Neutral
studentlife,10,Other,Neutral
minecraft,10,Other,Neutral
sky,10,Other,Neutral
hollywood,10,Other,Neutral
mumbai,10,Other,Neutral
booksbooksbooks,10,Other,Neutral
tv,10,Other,Neutral
creator,10,Other,Neutral
spring,10,Other,Neutral
artoftheday,10,Other,Neutral
karnataka,10,Other,Neutral
leagueoflegends,10,Other,Neutral
booklover,10,Other,Neutral
java,10,Other,Neutral
paris,10,Other,Neutral
hockey,10,Other,Neutral
